agent_id,umap_x,umap_y,cluster,avg_accuracy,avg_spearman,weights
B1,13.195021,4.0492764,-1,0.46599999999999997,0.8665000000000002,"[0.1, 0.32989278613022577, 0.25503648660940414, 0.5217324293494225, 1.7630871878573715, 0.3375659055432493, 2.4871254220896635, 0.17460581232941352, 0.565437806397327, 1.2161013913674634, 1.5974241571737056, 1.5390932116869194, 2.719181058112863, 0.1, 1.470537276846582, 1.6194978189953395, 0.5511415711625165, 0.24938119213766796, 1.1682554101695002, 1.6217343364040993, 2.0148210035382936, 2.0786385215229357, 0.1, 2.285022471779982, 0.9850210943323934, 0.1, 3.36569508537357, 1.4026499613627097, 0.504039216957966, 1.0327192194829917, 0.1, 0.181445552389649, 1.072907095272521, 2.4535405325869717, 0.23092223999292194, 1.9502397891589047, 0.1, 1.2458472880119482, 0.48248356265362136, 1.9235208140131288, 1.6245863229101343, 0.1, 1.890843295295797, 1.240117643897478, 1.4610299010344463, 1.8624110146041317, 0.1, 1.1958709246141013, 2.783147050559231, 1.4682150012364161]"
B2,13.722417,3.4572542,0,0.5999999999999999,0.9000000000000002,"[0.7859112188984803, 0.1, 0.24811470221798315, 1.4924334342860954, 0.1, 1.1842316903820784, 0.1, 2.052073771235234, 0.1, 0.2696882494970986, 0.737319507008912, 0.1, 1.7561848749361457, 1.103953829282447, 0.1, 0.1, 2.139769982729315, 0.1, 0.45233704400657193, 0.39225514844182674, 0.3353547445504981, 0.1, 0.1, 1.7767683836686514, 0.1, 1.714376873894805, 0.24620093370693763, 1.3787652624995848, 0.28454852121111984, 2.6245502716853943, 0.6993052147747383, 1.9533644032867683, 1.419848596178173, 0.4388578205988175, 0.19855726938174878, 1.4371016077811216, 0.1, 0.7621216473325717, 0.7225008162891735, 0.9809460831847359, 1.934708958917965, 0.6229768285570907, 2.0023966149710306, 0.9355989047861571, 0.39154301347217546, 0.17921049513843712, 0.7344441277422269, 1.5492391520920703, 2.3614386318226277, 0.42197160536968537]"
B3,14.164254,1.8190372,0,0.5179999999999999,0.8795000000000002,"[1.1866666187397228, 1.4689868879231394, 1.5125605067911119, 0.526568943929415, 1.6111396256145174, 2.059679370105917, 1.608608586610623, 0.1, 1.546003691361613, 1.6263457680229991, 1.8691191287522007, 0.8816528169655762, 0.6500885595227199, 0.85758649121303, 0.1, 0.1, 1.0391705499674682, 2.458719889071497, 0.1555859506878774, 0.1, 1.813304139998415, 1.691774137979006, 3.156110672512721, 0.6007700209338961, 0.1, 0.1, 0.1, 0.6160738368371401, 0.1, 0.1, 0.8835581608138139, 0.8679276171050208, 0.7408116753832799, 1.889920791157365, 0.1, 3.081507540521777, 0.1, 0.7434919277815417, 0.1, 1.034848165325957, 2.3232289486893394, 2.954708270946352, 0.762283210109661, 2.179903738566046, 0.6792581701406208, 0.6492636486961907, 0.9667134721196997, 0.43257039086780014, 2.596976097924981, 0.4585161888807776]"
B4,14.293814,3.829575,0,0.584,0.8840000000000002,"[2.1923754562357507, 0.1593407857736846, 0.3756263249748899, 2.7067662719723637, 0.3861043793832716, 1.5493351461640934, 0.1, 0.1, 2.024812339389147, 2.372402707038029, 0.1, 1.3850919798885282, 0.28884592222064176, 0.5110984521809174, 1.0743112700533224, 1.1507316201793834, 1.1356610827576228, 2.1911854905516446, 1.180913198450672, 0.4683074847378925, 3.1086485894286033, 0.45702359363929024, 0.3651190112685657, 0.6328075137851907, 1.2830273278260003, 0.6558795751431903, 0.7135021535651533, 1.322022626762355, 1.0099224447275084, 1.1218616168222313, 1.069682748548856, 1.7380801485170885, 1.1958355186774021, 0.6740653082596859, 2.417243073399697, 0.6746240764002054, 0.28962557253597143, 0.15037820195874585, 0.6500582047485937, 0.1, 2.0537427021895427, 0.4227112805827288, 0.1, 3.85919076323937, 0.8225223267647416, 1.4005734483414325, 1.6448499901914304, 1.442224698528593, 0.28425983758030204, 0.7669122955825137]"
B5,12.911048,3.225524,1,0.5829999999999999,0.8957500000000002,"[0.24584913342227233, 1.0147493280945392, 0.3519295223052611, 2.969041777020656, 1.9866113382283546, 0.7165868599449334, 2.1487739379324546, 0.1, 2.078068226667687, 0.8914987051918816, 1.8062127235701095, 2.4113142041095714, 0.32851961033274235, 0.9578638058998351, 2.1093317955823014, 1.2895141750715708, 0.5679660404660001, 0.1, 0.2626872415306052, 1.020199097566902, 1.5188236399752046, 0.7566036783777733, 1.2764293820033188, 2.4021823400428364, 1.7669666379398885, 0.4922808235716747, 0.5916352260951604, 0.20623702339427774, 0.9315069792841587, 2.766177153716405, 0.8579689471948512, 0.1, 0.1, 2.20094979156179, 0.1, 1.354589276604611, 0.1, 0.9144761728697519, 2.6946173462464342, 1.4012729296943565, 2.556529673892565, 0.1, 1.5707695103811177, 0.1, 0.5006977266200379, 1.801399609801346, 2.124222389865434, 1.383585874418741, 2.4241263198189937, 1.5294706690301203]"
B6,13.794253,4.3885164,0,0.5999999999999999,0.9000000000000002,"[2.1277942933978427, 0.1, 0.1, 1.416697955532109, 1.390516311478167, 1.805007728551161, 0.39776388901236015, 1.3855364259003606, 0.1, 1.5881823771352794, 1.899014767481766, 0.806094186031543, 0.42744150486760946, 0.1, 0.9681170548441451, 1.2386542571803847, 0.28948287444078136, 0.1, 1.529063974422117, 1.8095204135785772, 0.7731448926449345, 0.20611298963837177, 0.7230309620472142, 0.920844523740347, 2.4775739028825203, 0.7797692298965399, 1.666641179799813, 0.8522808878319681, 0.24253787401028415, 0.8613717230268879, 1.3457984359386626, 1.367467789551436, 1.3045573936355637, 2.0781815461804145, 1.1177944396529396, 0.1, 0.7430679374007397, 1.0083350739562265, 0.34736274936093614, 2.756182083528765, 2.3689730773940125, 1.8671723951623718, 2.445896609765229, 0.1, 1.4411445303342574, 0.1, 1.0626536231841726, 0.22147914567404292, 2.4961580443763567, 0.6148821140024547]"
B7,14.9378605,3.2024634,0,0.523,0.8807500000000001,"[0.7973564667902856, 1.3870871125866904, 0.2993260553213267, 0.1, 0.18926589940442962, 0.41601685240149056, 2.3222946932787663, 0.1, 1.4409564016636778, 0.1, 0.992835036599705, 1.754334352855433, 0.13205278934872955, 0.6356120554423903, 1.583313271765764, 0.9328624567957781, 0.1, 1.6784012694769164, 0.1, 0.5752066791464319, 0.683234893001925, 1.0791760833113988, 0.6562538891843055, 2.5016421808035325, 0.3036320989585547, 1.5058976587205017, 1.10559133418529, 0.1, 0.1, 0.1, 0.5398406613705713, 1.0228279295285054, 1.2667436583579386, 0.1, 0.7586056839084023, 0.1714233287820467, 1.0475666973060744, 2.0235778518587617, 2.3608451105533677, 0.1, 0.1, 1.4898581628632692, 1.0010409627250971, 0.9324449838157413, 1.9163609409031386, 0.1, 1.7527735265705309, 0.42236071440334766, 1.0977909128057026, 0.5182584467755117]"
B8,14.938299,4.06258,0,0.37400000000000005,0.8435000000000002,"[1.7100088882107032, 0.39073941537788415, 0.38025903795112315, 0.8445518865154232, 0.1, 0.4811310645660939, 0.1, 0.24081956353731604, 0.9103750064789197, 1.3225830928794835, 2.349555720459998, 1.1133560188402847, 0.8970362620747143, 1.0905391814134293, 0.7789231021853457, 0.1, 0.1, 1.8188852612576039, 0.1, 0.1452032205578987, 1.244370473748284, 2.526493375853751, 0.6558964047352955, 0.8970267824275552, 1.7616215106041775, 0.1, 0.889520346691069, 1.4749079285449738, 0.47558861369854, 0.4826497374477213, 1.0981723294042576, 2.0618583756481206, 3.061660793087258, 0.3364346987583925, 0.4604199948323173, 0.1, 0.4630372847343466, 1.3371634810385657, 1.8921796925900491, 0.555650582286897, 3.2040903230402242, 0.45921571044116194, 0.4503233084631463, 1.0861892382931768, 1.1170661293358857, 0.3287875377282933, 1.3815261978895, 0.4240128256293729, 0.7409960922372878, 0.868637843123808]"
B9,15.101403,2.6227195,0,0.5929999999999999,0.8982500000000002,"[1.5398016278257491, 2.1004033674900837, 0.13299592776126257, 0.1, 2.149624700626046, 1.05965329659242, 0.1, 2.9289231802500275, 0.2841438828593257, 0.1, 0.1, 2.740981637591907, 1.6033492910650327, 1.1488595129955477, 1.7471723745731798, 0.1, 1.8509973420920085, 1.9758375692080494, 2.687490534327136, 0.1, 0.1, 0.5710827327920354, 1.5322444906563972, 0.3766182756436248, 0.8379585237863589, 0.9332911269591566, 0.7892343937785495, 1.5822627969216527, 1.101324980763745, 0.4063986833070661, 1.9764841291467565, 1.2450077364414778, 1.0676774212620166, 0.8187360777217398, 1.1374947216017512, 1.061086074571236, 2.018452697238732, 2.2649971566436795, 0.990636353581044, 0.9098642310314459, 0.39977828259133985, 1.130946480141126, 0.7865677903497381, 0.6992346138792138, 1.4992876416364667, 1.3603094463810603, 1.525381794792155, 1.302477952460813, 1.3894602910631668, 0.23273574671402397]"
B10,14.408951,4.5369806,0,0.573,0.8932500000000002,"[1.7057037719115582, 0.23652194630704038, 0.1, 2.7668582968094935, 0.2725543886691809, 2.460303296274061, 0.1, 1.1183208228560544, 1.3825729192390432, 2.420267192333178, 0.1, 0.1, 0.7926678659043607, 2.5085329309577427, 3.225406541646083, 0.16477068262793582, 0.1, 1.2535196372214115, 1.3661709176464412, 2.6483850252516596, 0.4330643804488872, 0.9650926183760562, 0.1, 1.8708874067135235, 0.46671967711973916, 0.7629062879645208, 1.3177132589868155, 0.7139639384740932, 0.35450814444840384, 0.1, 1.0935691128248655, 1.7762869597829112, 2.985211581804275, 1.0029298852935067, 0.39549916628539716, 1.1762758942395704, 1.3345291117775355, 1.5203251744376645, 0.42472199357745044, 1.0915473078711286, 1.5008234860101195, 0.29572909976684725, 1.9120228737719265, 1.305950204207765, 3.7946212874370424, 0.1, 0.6799783117220544, 1.140471905168149, 0.15900036435322318, 1.0526799247987466]"
