agent_id,umap_x,umap_y,cluster,avg_accuracy,avg_spearman,weights
C1,-6.1451654,-4.1003475,-1,0.5209999999999999,0.8580000000000001,"[0.6894315321877974, 2.010624655355004, 1.2266072684541947, 1.095002038610168, 2.8330570682418657, 0.8521522206540155, 0.1, 0.1, 3.3237978973618008, 1.182691015147329, 0.1, 0.1424318874806465]"
C2,-7.653461,-3.567676,0,0.5175,0.8722500000000002,"[1.2175621108760866, 1.2130558301847416, 1.945603356152169, 0.1, 1.6443456025229661, 0.4980116880940192, 2.0219749920904766, 2.658718674977078, 1.131335594653266, 1.4197350793081842, 0.1, 0.6381641267187661]"
C3,-5.5209503,-2.2325184,2,0.5185,0.86875,"[0.9364709697672768, 1.4846567298572335, 1.2250289679440014, 1.1905866051317138, 0.9352519829598592, 1.134184814944827, 1.5717897199108686, 0.1, 1.5192045984541513, 1.544298550727761, 0.1, 3.269869020660656]"
C4,-4.862277,-2.2525086,-1,0.5129999999999999,0.87375,"[0.897875661015594, 0.4851845416783209, 1.5594126152318828, 0.1, 0.3353037877715781, 1.2487892210649576, 1.4887010519443427, 0.4437263297356945, 0.1, 0.1, 0.4954594799685199, 2.1989784913982584]"
C5,-5.0336213,-2.65504,2,0.5295,0.8730000000000001,"[0.1, 1.2626214134962028, 0.9929815168064982, 0.47239066836756116, 0.42934168194214817, 1.060653035164169, 3.3677384880632086, 0.7811820852170128, 0.3147830615326549, 0.7475879819438799, 1.4758999268811692, 2.621176016566154]"
C6,-5.4646864,-3.817541,3,0.512,0.8720000000000002,"[1.1607559050174054, 1.6688510584658474, 1.4827375964065057, 1.7173839818120897, 1.5475198765130664, 1.5449586130102535, 1.835829864818505, 0.9801772212441748, 0.1, 1.0782769460875503, 0.8338363224416374, 0.1]"
C7,-5.626272,-3.256706,3,0.5169999999999999,0.8695000000000002,"[1.066588809948463, 0.7904373965884196, 1.4247618428786364, 1.3590810758542278, 1.8854293565276676, 0.761379928723819, 0.5371565490668594, 0.1, 1.5163657191421356, 1.1041455535389364, 1.7353686738643062, 2.093485997608068]"
C8,-6.638791,-2.2853892,1,0.5195,0.8750000000000001,"[0.6207028817945295, 0.1, 0.5319186852796659, 2.9765773138919585, 4.5894565957466265, 1.3125508310751466, 0.1, 1.1375640270660061, 0.1, 0.1, 0.1, 1.4640378461279195]"
C9,-4.9495707,-3.6328242,3,0.5139999999999999,0.8665,"[0.42485813407212725, 2.521845804594114, 1.1103214588260821, 0.1, 0.8157991287186992, 1.0600628897935434, 0.1165186237949758, 0.8152761568494525, 0.3799886543556994, 0.6719050053064594, 1.944207785762488, 0.8777399309864932]"
C10,-7.061102,-2.4368982,-1,0.507,0.867,"[2.547736460710782, 1.596061248979601, 0.1, 1.482598141099619, 2.388575592419347, 2.44145089863087, 0.7901149183025562, 2.3207595890649575, 0.1, 0.1, 0.9654287047867648, 1.643350016179229]"
C11,-6.460161,-2.9197557,1,0.513,0.8730000000000001,"[1.4585444952660094, 0.1871654082768327, 0.8690683318371674, 0.6186498688476019, 1.5498608972094705, 0.1, 0.5473427177980025, 1.2563708855892088, 0.1, 1.2219547383597753, 1.3219555361422273, 2.150313056927599]"
