agent_id,umap_x,umap_y,cluster,avg_accuracy,avg_spearman,weights
D1,7.1909566,-3.3674462,1,0.488,0.8660000000000001,"[0.1, 1.1473041256231977, 0.17623561125409037, 1.303956459829825, 0.1, 1.8651228944932068, 1.2268050961375414, 0.1, 1.9095419192397514, 0.1, 0.1, 0.9564438584387731, 1.4376362294370681, 1.6733649310584602, 0.1, 1.3081563272347396, 0.1, 0.1, 0.6123862305304656, 1.8845533523507494, 0.5811099452096443]"
D2,7.630992,-4.4289055,0,0.5364999999999999,0.8785000000000001,"[1.86399216969311, 0.1, 1.3729754982814573, 2.4017954641912667, 1.7960870392130508, 2.012329462823825, 0.6755687998323219, 0.1, 1.7761882848329091, 1.5876334361822189, 0.3244422865051101, 0.2756883249097579, 1.897555380685608, 2.1799654906901162, 1.7637965513761622, 0.40926804661940686, 0.1, 1.980029608536031, 0.26653898815628796, 0.5111719209984849, 0.1]"
D3,7.4468927,-2.788677,1,0.507,0.8707500000000001,"[0.5241913892351368, 0.5720176455967623, 0.12481289495270209, 1.9286904157368796, 0.1, 1.1317877299131944, 2.0717730885957106, 1.385452557729756, 0.5265263816988459, 0.7086405982738748, 0.3520499749006869, 2.0105713048946683, 1.3427511115459898, 0.1, 1.4505060406287398, 1.4763368551052247, 0.7357609859451576, 1.3889718633083432, 0.9495933930447892, 0.7831974776719417, 1.4460437350643909]"
D4,7.501679,-3.698247,0,0.387,0.84125,"[0.1, 0.1, 2.3187510283470583, 2.609408004924565, 1.36907748726625, 2.4049594898314055, 1.117016088074403, 2.2686955621294027, 1.6534373863606546, 0.1, 0.3635683786002092, 1.7224384279810543, 0.6340124541148515, 2.2912768577896037, 1.1684025896749468, 0.7775514693158283, 0.30255322683002783, 0.1, 1.6904807844129222, 2.971299340181286, 0.1]"
D5,6.7822504,-2.859677,1,0.502,0.8647500000000001,"[0.1, 0.4373951971533979, 0.3530072110086623, 0.16231471255778096, 0.38701390239990785, 1.2375800607349883, 1.5858638118011945, 0.1, 0.5472799791445796, 1.820012589059783, 1.8027113231821192, 1.9968839785510908, 0.9130959114271592, 0.9810925589436478, 0.1, 0.6128333751970761, 1.526728942527055, 2.4383609461522546, 1.0787886238183364, 2.8537522235355675, 0.8657986749735983]"
D6,6.7125487,-4.085234,0,0.5724999999999999,0.8725000000000002,"[2.6211184948209802, 0.17905742110877598, 2.4465556803522803, 0.5372933035675171, 0.1, 1.4329093600220615, 0.44087700509005767, 1.1194386366922788, 0.1, 0.20153643548227562, 0.5347518341629252, 1.6743539192224435, 1.0563829993888438, 0.1, 0.9852893750495267, 1.7899471143161758, 1.1495813716585954, 0.1, 2.084254836222557, 0.9396086532117569, 0.4657350268975817]"
D7,6.2324424,-3.5997174,0,0.5704999999999999,0.8705000000000002,"[2.765878916769413, 1.1708388584206726, 1.2468964869996082, 0.1, 1.0295628107036412, 0.8916386324078451, 1.0755717042061863, 0.5542358045269409, 0.1, 1.7176173061206883, 1.8161920209902367, 2.9232797556118184, 0.1, 0.1, 0.35317006049594624, 0.9681104966757242, 2.0220185159702497, 0.5511452293024499, 1.224675189078603, 0.1, 0.1]"
D8,8.306541,-3.9087133,-1,0.4664999999999999,0.8647500000000002,"[0.9846809646682084, 0.23799509209713732, 1.262568563934414, 1.665099458552093, 1.9883716680510055, 0.8250639238978257, 1.472108307903035, 0.1, 0.3674094028300534, 0.1, 0.26881557287462754, 0.5473853221612948, 1.6539099557018833, 0.49484185213239407, 0.1, 0.1, 1.3443858231562666, 0.5245674701182357, 0.1, 0.29747601965739745, 2.560801336708504]"
D9,8.839728,-3.811124,1,0.35200000000000004,0.8380000000000001,"[0.1, 0.9619981436801553, 2.488145828906383, 2.577456635956035, 1.7326872525754244, 0.8936338372393451, 1.4328470684964443, 0.6457640652390961, 2.0435950338783813, 1.6389683922736427, 0.30782509589160423, 0.8023066450432851, 0.1, 0.18663612352043046, 0.6165558734079051, 1.2033426316418412, 1.9456456524272387, 0.20462691559734714, 1.215278272014694, 0.6259078201340984, 2.6741179907951773]"
D10,8.074429,-3.1852558,1,0.5769999999999998,0.8770000000000002,"[2.989137343982893, 0.1, 0.6509689213396987, 0.7345001071310434, 1.3943386242124207, 0.1, 0.813028724757587, 1.9047581850035993, 1.3956113652215747, 1.5223644162572836, 0.1, 1.2406452342621246, 1.9918270445467476, 0.3572668532639125, 0.9444248248181413, 0.5704943181140605, 1.8895205841690332, 1.6129836488396276, 1.1063670610877587, 0.682693907252379, 1.9112955927163355]"
D11,6.185176,-2.737039,-1,0.5119999999999999,0.87275,"[0.2870580375298015, 0.8501082503985473, 2.3141052687638837, 0.47820406971545193, 0.1, 0.6653931168109702, 1.5078008757682917, 1.1896580988594974, 1.8665131133939867, 1.8630583950904103, 3.0399001466418567, 2.153952937432158, 0.5045921424269451, 1.8030495101542163, 2.7851134982636228, 0.1, 3.0440696664283062, 1.3428843384470723, 0.5026803487635032, 0.1, 0.7561241127297119]"
D12,7.966685,-2.5895524,1,0.565,0.8650000000000001,"[1.9252793516479654, 0.3577083752564396, 0.29693483418725586, 0.5708313622984804, 0.1, 0.9235009321628459, 0.1, 3.172726421814176, 0.1, 1.9698809704384288, 0.47528252130145376, 1.4668686581685735, 0.22382996123963828, 2.3891059522484843, 1.7403152944646632, 0.1, 1.7975649656383577, 0.7204642138854651, 1.7401170085159363, 1.8318417536505356, 1.069600576493178]"
D13,6.834853,-2.2573152,1,0.40700000000000003,0.8517500000000001,"[0.1, 1.6023425511669647, 0.1, 2.910462035301429, 0.23592269974003743, 0.1, 1.6049468485535971, 0.42434947939475853, 1.3556051679227035, 2.2237795024732447, 0.9001042805300282, 2.5505706381642277, 0.1, 0.8353878964573442, 0.70960202401812, 0.1, 0.13084876212879482, 2.2185372632890656, 1.3245488664829699, 0.1, 1.5579524892211616]"
D14,6.1698093,-4.5141954,-1,0.571,0.8710000000000001,"[4.316515961404328, 2.0395061552204834, 0.7141941216569778, 0.9790296662416951, 1.3569686031351789, 0.3332016872856337, 1.1135085569637995, 1.0477521560217964, 1.508687072449935, 0.22522521220850578, 2.196609872972084, 0.1, 0.1820654942628933, 0.1, 0.4727264060769887, 1.8464042956891444, 1.9713703980634538, 0.9248529831399932, 1.1160653109561187, 0.1, 0.1]"
D15,6.9882145,-4.6158657,0,0.569,0.8690000000000001,"[3.2082490559828654, 2.2276575929727436, 0.3924245840021653, 1.3339223784004215, 0.4997599437878899, 3.1355964398540377, 1.9224918813745022, 0.33198437418455085, 1.0506798179092764, 1.827145832956428, 1.8266196449855943, 0.3187447550441421, 1.5653878332940283, 2.260605766196467, 1.528691379188502, 1.0857900563305831, 0.8749860525471056, 1.93768663401057, 0.1, 1.2519885703194094, 0.1]"
D16,8.935875,-4.3765917,-1,0.5529999999999998,0.8800000000000001,"[2.0862864896299547, 0.39603412112498526, 1.2337524136140947, 1.714278724071257, 1.7548288768326106, 2.8025575873765556, 0.1, 0.4580847585190053, 1.5533876735427554, 0.7293405890054485, 0.780969983970623, 0.7582533588240548, 1.3786434544257042, 0.1, 0.7620367925415718, 1.592950492015155, 1.3109548744846171, 0.47105570307274836, 2.85911013394604, 0.1, 3.7589231167103945]"
D17,8.664596,-3.1541893,1,0.5755,0.8807500000000001,"[1.1528773800433096, 0.9346433875782512, 0.5327668376066186, 0.1, 1.0589916926555925, 1.5545758094562285, 1.5977731588107793, 0.1, 2.2337188765234615, 0.15482841650790413, 0.1, 0.6189377628925492, 2.0004328456698266, 0.15449774138828576, 2.528028683662708, 0.9817519822748458, 1.2457369548806787, 0.1, 0.31283331215474186, 1.0584777867949569, 1.8573821652714004]"
D18,8.081392,-4.7911158,-1,0.5644999999999999,0.8802500000000001,"[1.7907361828500306, 0.1, 1.4557195189269785, 0.1, 1.7903166574316467, 0.9893075505797568, 1.315449744648476, 1.1882008589861737, 0.7625390351323913, 1.593539921731479, 0.7565415648232918, 0.5721272925193668, 1.5426738989938689, 2.074730078346207, 0.8954438631130591, 1.797313983182037, 0.1, 1.464647384246499, 1.575517605066653, 0.8449504454282458, 1.751589210501729]"
D19,7.3745246,-2.0562346,1,0.5544999999999999,0.8785000000000003,"[0.9469556393153453, 0.17467722040421496, 0.1, 1.465811806723925, 0.1, 1.0150211168729015, 1.837652328155619, 0.7732565972734395, 1.9293284488377553, 2.8396206846947845, 0.1, 2.2511393430874924, 1.9116771298424138, 1.2829283793697392, 0.12002002572896386, 0.500428624545463, 1.7292630698145945, 0.7991682141314639, 0.1, 0.11436376885984256, 0.1]"
D20,5.7408457,-3.5987465,-1,0.5574999999999999,0.8815000000000002,"[1.0676131750652662, 0.2874143449629276, 1.2225934790784307, 1.099501133775793, 0.3534203605544486, 1.348202797927498, 2.3962325292909297, 0.1, 0.1, 1.401559654900403, 2.1906402258522144, 0.748061533965656, 0.1, 0.1, 1.899174112997886, 2.745740555065341, 0.1, 0.3387191138275134, 0.9735506416818677, 0.3675328149697856, 1.0169920226790914]"
