combination,pca_x,pca_y,accuracy
A1+B1+C1+D1,-140.29412240447607,230.3628211658858,0.14189230068488692
A1+B1+C1+D2,-140.29412240447593,230.3628211658858,0.1503924063563746
A1+B1+C1+D3,-140.2941224044761,230.3628211658858,0.15827066897557956
A1+B1+C1+D4,-140.29412240447598,230.36282116588583,0.1572913836318049
A1+B1+C1+D5,-140.29412240447587,230.3628211658858,0.15632564681802597
A1+B1+C1+D6,-140.29412240447607,230.36282116588578,0.1585509406260001
A1+B1+C1+D7,-140.294122404476,230.3628211658858,0.17272091395109446
A1+B1+C1+D8,-140.294122404476,230.3628211658858,0.14834361066423943
A1+B1+C1+D9,-140.29412240447604,230.36282116588583,0.1337697873664035
A1+B1+C1+D10,-140.29412240447604,230.36282116588578,0.14690971956679666
A1+B1+C2+D1,-140.29412240447596,230.3628211658859,0.14135732692303749
A1+B1+C2+D2,-140.29412240447581,230.3628211658859,0.14985743259452522
A1+B1+C2+D3,-140.29412240447598,230.3628211658859,0.15773569521373015
A1+B1+C2+D4,-140.29412240447587,230.36282116588592,0.1567564098699554
A1+B1+C2+D5,-140.29412240447576,230.3628211658859,0.15579067305617664
A1+B1+C2+D6,-140.29412240447596,230.36282116588586,0.15801596686415056
A1+B1+C2+D7,-140.2941224044759,230.3628211658859,0.17218594018924488
A1+B1+C2+D8,-140.2941224044759,230.3628211658859,0.14780863690239
A1+B1+C2+D9,-140.29412240447593,230.36282116588592,0.13323481360455403
A1+B1+C2+D10,-140.29412240447593,230.36282116588586,0.14637474580494705
A1+B1+C3+D1,-140.29412240447598,230.36282116588586,0.14246738703419443
A1+B1+C3+D2,-140.29412240447584,230.36282116588586,0.15096749270568194
A1+B1+C3+D3,-140.294122404476,230.36282116588586,0.15884575532488698
A1+B1+C3+D4,-140.2941224044759,230.3628211658859,0.15786646998111228
A1+B1+C3+D5,-140.2941224044758,230.36282116588586,0.1569007331673337
A1+B1+C3+D6,-140.29412240447598,230.36282116588583,0.15912602697530734
A1+B1+C3+D7,-140.29412240447593,230.36282116588586,0.17329600030040193
A1+B1+C3+D8,-140.29412240447593,230.36282116588586,0.1489186970135469
A1+B1+C3+D9,-140.29412240447596,230.3628211658859,0.13434487371571105
A1+B1+C3+D10,-140.29412240447596,230.36282116588583,0.14748480591610397
A1+B1+C4+D1,-140.29412240447604,230.36282116588583,0.14131242125180787
A1+B1+C4+D2,-140.2941224044759,230.36282116588583,0.14981252692329564
A1+B1+C4+D3,-140.29412240447607,230.36282116588583,0.15769078954250035
A1+B1+C4+D4,-140.29412240447596,230.36282116588586,0.15671150419872576
A1+B1+C4+D5,-140.29412240447584,230.36282116588583,0.15574576738494705
A1+B1+C4+D6,-140.29412240447604,230.3628211658858,0.15797106119292095
A1+B1+C4+D7,-140.29412240447598,230.36282116588583,0.17214103451801538
A1+B1+C4+D8,-140.29412240447598,230.36282116588583,0.1477637312311604
A1+B1+C4+D9,-140.294122404476,230.36282116588586,0.13318990793332458
A1+B1+C4+D10,-140.294122404476,230.3628211658858,0.1463298401337175
A1+B1+C5+D1,-140.29412240447593,230.36282116588603,0.141825238080064
A1+B1+C5+D2,-140.2941224044758,230.36282116588603,0.1503253437515516
A1+B1+C5+D3,-140.29412240447596,230.36282116588603,0.15820360637075662
A1+B1+C5+D4,-140.29412240447584,230.36282116588606,0.15722432102698175
A1+B1+C5+D5,-140.29412240447573,230.36282116588603,0.1562585842132031
A1+B1+C5+D6,-140.29412240447593,230.362821165886,0.158483878021177
A1+B1+C5+D7,-140.29412240447587,230.36282116588603,0.17265385134627126
A1+B1+C5+D8,-140.29412240447587,230.36282116588603,0.14827654805941645
A1+B1+C5+D9,-140.2941224044759,230.36282116588606,0.13370272476158054
A1+B1+C5+D10,-140.2941224044759,230.362821165886,0.14684265696197354
A1+B1+C6+D1,-140.2941224044761,230.36282116588586,0.15696325699669159
A1+B1+C6+D2,-140.29412240447596,230.36282116588586,0.16546336266817943
A1+B1+C6+D3,-140.29412240447613,230.36282116588586,0.17334162528738412
A1+B1+C6+D4,-140.294122404476,230.3628211658859,0.1723623399436096
A1+B1+C6+D5,-140.2941224044759,230.36282116588586,0.17139660312983085
A1+B1+C6+D6,-140.2941224044761,230.36282116588583,0.17362189693780464
A1+B1+C6+D7,-140.29412240447604,230.36282116588586,0.18779187026289917
A1+B1+C6+D8,-140.29412240447604,230.36282116588586,0.163414566976044
A1+B1+C6+D9,-140.29412240447607,230.3628211658859,0.14884074367820813
A1+B1+C6+D10,-140.29412240447607,230.36282116588583,0.1619806758786011
A1+B1+C7+D1,-140.29412240447584,230.362821165886,0.14214298915534257
A1+B1+C7+D2,-140.2941224044757,230.362821165886,0.15064309482683041
A1+B1+C7+D3,-140.29412240447587,230.362821165886,0.15852135744603518
